image_id,product_id,image_url,sort_order
ccbea84a-97f4-5ac7-9df0-e1668771a8ad,eb8be35a-b812-533f-ae29-374cddbaad8f,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492842/product-image/banh-nuong/honey%20croissant.png,0
267c5ece-6aa3-57b8-a3c6-4ede26ed9064,bc131109-b23a-5c4a-83ac-443740d12887,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492901/product-image/mini-cakes/minicake-oreo%281%29.png,0
811382a1-0ad8-5303-8201-27501bd0b6e6,bc131109-b23a-5c4a-83ac-443740d12887,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492902/product-image/mini-cakes/minicake-oreo%282%29.png,1
5ecb37a3-2b14-53ad-91e3-1377667df678,1e49946f-f3f5-59c3-8cf2-0db377fc6c1f,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492899/product-image/mini-cakes/minicake-khoaimon%281%29.png,0
5d35815d-7b56-564a-9e3e-25766a753cb8,1e49946f-f3f5-59c3-8cf2-0db377fc6c1f,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492900/product-image/mini-cakes/minicake-khoaimon%282%29.png,1
78ac02bd-efae-5e5f-b495-2ca021c8aa6a,b2b0d922-e56e-5266-aec9-14ff7f377656,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492897/product-image/mini-cakes/minicake-dualuoi%281%29.png,0
f58407d5-ace5-5f3e-bd79-242bd987aadc,b2b0d922-e56e-5266-aec9-14ff7f377656,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492898/product-image/mini-cakes/minicake-dualuoi%282%29.png,1
68ccc5cf-06ee-5ad4-b55d-26402afefd7c,3475825e-466e-5220-9ff6-13c8fbc83318,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492894/product-image/mini-cakes/minicake-cafe%281%29.png,0
11d4e13c-3471-5650-bc74-4f12a6604ca8,3475825e-466e-5220-9ff6-13c8fbc83318,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492896/product-image/mini-cakes/minicake-cafe%282%29.png,1
c4315d21-20b6-5846-9311-f1164a436040,e4bad133-da3f-58d3-a5ed-d77107972229,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492903/product-image/mini-cakes/minicake-phomatsuachua%281%29.png,0
12f0c2c1-eefe-5a78-9c38-7dd5c4a43d2a,e4bad133-da3f-58d3-a5ed-d77107972229,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492909/product-image/mini-cakes/minicake-phomatsuachua%282%29.png,1
758f94a6-8d46-5bb7-b5ed-83369602192e,6a18bde5-440f-5300-a224-25a7379511a1,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492958/product-image/tiramisu/tiramisu-tiramisuclassic%281%29.png,0
4f826e3b-52a3-5134-b9ec-67c7051f6678,6a18bde5-440f-5300-a224-25a7379511a1,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492960/product-image/tiramisu/tiramisu-tiramisuclassic%282%29.png,1
6fed018b-0da6-514f-91ca-202b9358fb79,147289ba-13e0-571e-97dc-bc4b5da0e260,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492965/product-image/tiramisu/tiramisu-tiramisuthanhtra%281%29.png,0
57db74a3-4473-5660-a83a-7c609602fcdd,147289ba-13e0-571e-97dc-bc4b5da0e260,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492966/product-image/tiramisu/tiramisu-tiramisuthanhtra%282%29.png,1
5a8987b7-cba5-5cba-b320-f753515ebec3,25b66dad-abd8-5629-bbca-57fd386f8514,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492955/product-image/tiramisu/tiramisu-thanhnhan%281%29.png,0
e37fadc9-de5f-5dc5-bed6-4f00deeae64f,25b66dad-abd8-5629-bbca-57fd386f8514,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492957/product-image/tiramisu/tiramisu-thanhnhan%282%29.png,1
3d858191-c4f6-569b-a1bd-705ea226ecc1,b6022ca8-867d-5ab8-b11e-172672120830,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492961/product-image/tiramisu/tiramisu-tiramisumatcha%281%29.png,0
5b3976be-ede7-5e3f-bac2-098910fe8bf2,b6022ca8-867d-5ab8-b11e-172672120830,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492963/product-image/tiramisu/tiramisu-tiramisumatcha%282%29.png,1
